허가기관명,시군명,용도,세부용도,사업상태,발전소명,소재지도로명주소,소재지지번주소,설비용량(KW),공급전압(V),주파수(Hz),사업허가일자,사업개시예정일자,사업개시일자,소요부지면적(㎡),집광판면적(㎡),위도,경도,설치위치구분,지목,비고,데이터기준일자
고양시,고양시,전기사업용,발전사업용,운영중,원신4통마을회 태양광발전소,경기도 고양시 덕양구 신촌길 155-8,경기도 고양시 덕양구 원당동 287-4,10.23,380,60,2020-05-04,,2020-12-22,56,,37.66930624,126.855895,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,원신5통마을회 태양광발전소,경기도 고양시 덕양구 호국로 1268-28,경기도 고양시 덕양구  신원동 286-2,,380,60,2018-11-05,,2019-01-18,56,,37.67617719,126.8765538,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,유산1호태양광발전소,경기도 고양시 덕양구 유산길 104,경기도 고양시 덕양구  내유동 749-3,19.5,380,60,2019-04-08,,2019-08-20,102,,37.73152513,126.8478211,건물,잡종지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,유진4호 햇빛발전소,경기도 고양시 덕양구 통일로493번길 35,경기도 고양시 덕양구 대자동 255-1번지,28.8,380,60,2020-01-30,,2021-04-07,611.71,,37.67548405,126.883579,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,은빛태양광발전소,경기도 고양시 일산동구 문봉동 58-22,경기도 고양시 일산동구 문봉동 58-22,,380,60,,,,932,,37.70365369,126.8271171,건물,임야,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,이레태양광발전소,경기도 고양시 일산서구 송산로 387-34,경기도 고양시 일산서구 가좌동 197,,380,60,2014-07-21,,,120,,37.6864681,126.7228807,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,이수태양광발전소,경기도 고양시 일산동구 성현로268번길 68-29,경기도 고양시 일산동구 성석동 57,,380,60,2015-03-30,,,232,,37.70179295,126.8117586,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,인당 태양광발전소,경기도 고양시 덕양구 고골길 116번길 39-45,경기도 고양시 덕양구 고골길 116번길 39-45,99.23,380,60,2019-09-16,,2019-12-30,492,,37.71336125,126.8689244,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,일산광성태양광발전소,경기도 고양시 일산동구 지영로 198,경기도 고양시 일산동구 지영동 281-5,325.89,380,60,2018-06-08,,2019-06-20,1783,,37.71491643,126.8290077,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,일산소수력발전소,경기도 고양시 덕양구 대주로 136,경기도 고양시 덕양구  대장동 223-1,,380,60,2016-04-21,,2017-08-29,,,37.63944012,126.8143185,건물,수도용지,,2021-06-25
