도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,교통량,준공년도
고속국도,고속국도60호선,발산4터널(양양),강원도,춘천시,남면,추곡리,433,11.6,,7.3,25012,2009
고속국도,고속국도105호선,밤갓터널(김해),경상남도,창원시 진해구,남문동,,2052,12.6,9.2,7.1,6362,2017
고속국도,고속국도105호선,밤갓터널(신항),경상남도,창원시 진해구,소사동,,2057,12.6,9.2,7.1,6362,2017
고속국도,고속국도10호선,밤재터널(순천),전라남도,영암군,학산면,묵동리,655,11.5,,7.3,5817,2012
고속국도,고속국도10호선,밤재터널(영암),전라남도,영암군,학산면,묵동리,669,11.5,,7.3,5817,2012
고속국도,고속국도20호선,방곡터널(익산),전라북도,진안군,진안읍,오천리,928,11.4,,7.3,7960,2007
고속국도,고속국도20호선,방곡터널(장수),전라북도,진안군,진안읍,오천리,928,11.4,,7.3,7960,2007
고속국도,고속국도14호선,배내골나들목터널,경상남도,양산시,원동면,선리,245,9.4,,6,3815,2020
고속국도,고속국도20호선,백안터널(대구),대구광역시,동구,평광동,,590,11.8,,7.3,20736,2004
고속국도,고속국도20호선,백안터널(포항),대구광역시,동구,백안동,,550,13.7,,7.3,20736,2004
고속국도,고속국도12호선,백전1터널(광주),경상남도,함양군,백전면,오천리,620,10.7,,7.1,6416,2015
고속국도,고속국도12호선,백전1터널(대구),경상남도,함양군,백전면,오천리,620,10.7,,7.1,6416,2015
고속국도,고속국도12호선,백전2터널(광주),경상남도,함양군,백전면,오천리,400,10.7,,7.1,6416,2015
고속국도,고속국도12호선,백전2터널(대구),경상남도,함양군,백전면,오천리,400,10.7,,7.1,6416,2015
고속국도,고속국도12호선,번암1터널(광주),전라북도,장수군,번암면,유정리,274,12.2,,7.2,6811,2015
고속국도,고속국도12호선,번암1터널(대구),전라북도,장수군,번암면,유정리,262,12.2,,7.2,6811,2015
고속국도,고속국도12호선,번암2터널,전라북도,장수군,번암면,유정리,160,23.2,,10.1,6811,2015
고속국도,고속국도10호선,벌교1터널(순천),전라남도,보성군,조성면,신월리,301,11.5,,7.3,8142,2012
고속국도,고속국도10호선,벌교1터널(영암),전라남도,보성군,벌교읍,옥전리,269,11.5,,7.3,8142,2012
